"zdaje","126"
"sprawa","126"
"francuzi","126"
"całe","125"
"podszedł","125"
"mężczyzna","124"
"dnia","124"
"stąd","124"
"razy","124"
"miałem","124"
"dać","123"
"przynajmniej","123"
"brzegu","123"
"iść","122"
"erina","122"
"znajduje","121"
"znaczy","121"
"leży","121"
"pewnie","121"
"rzucił","121"
"pięć","121"
"swe","121"
"dostać","121"
"kraju","121"
"komanczów","121"
"śmierci","120"
"dopóki","120"
"spodziewam","120"
"miłość","120"
"zrobić","120"
"góry","120"
"człowiekiem","119"
"chętnie","118"
"usłyszał","118"
"rozkazał","118"
"tonem","118"
"mojego","118"
"indianin","118"
"swej","117"
"radości","117"
"ślady","117"
"tuż","117"
"francuzów","117"
"pytał","116"
"kazał","116"
"samego","116"
"grandeprise","116"
"sułtan","116"
"dziecko","115"
"przekonany","115"
"panem","115"
"wcześniej","115"
"trzech","115"
"imię","115"
"aha","115"
"kreuznach","115"
"lord","115"
"uśmiechem","114"
"chcąc","114"
"wody","114"
"jednej","113"
"kroki","112"
"jakiegoś","112"
"nieco","112"
"pobliżu","112"
"damy","112"
"postać","111"
"gdybym","111"
"swych","111"
"sprawy","111"
"pytanie","111"
"słyszał","111"
"cicho","111"
"pomoc","111"
"mówi","111"
"zjawił","111"
"dam","111"
"syna","110"
"takich","110"
"boga","110"
"rację","110"
"udać","110"
"jedną","110"
"lindsay","110"
"dół","109"
"hacjendzie","109"
"miejsca","108"
"uczynić","108"
"prawdę","108"
"okręt","108"
"sprawie","107"
"ponownie","107"
"wprost","107"
"da","106"
"choć","106"
"jakim","106"
"nóż","106"
"radość","105"
"chcą","105"
"swym","105"
"odpowiedziała","105"
"obu","105"
"helmera","105"
"rotmistrz","105"
"musisz","104"
"możecie","104"
"statek","104"
"głowie","104"
"opowiedział","104"
"pańskie","103"
"godziny","103"
"ravenow","103"
"drodze","102"
"myśl","102"
"chodź","102"
"kochany","102"
"niczego","102"
"rzecz","102"
"musieli","102"
"wiecie","102"
"zakonnik","102"
"wielkim","101"
"dzięki","101"
"karia","101"
"obcy","100"
"przerwał","100"
"przystąpił","100"
"razu","100"
"ferdynand","100"
"pardero","100"
"droga","99"
"czekać","99"
"mężczyzn","99"
"jakąś","99"
"podał","99"
"wrócił","99"
"zanim","98"
"dostał","98"
"życia","98"
"wzrok","98"
"tymi","98"
"piękna","98"
"udali","98"
"chciała","97"
"dziesięć","97"
"usta","97"
"sami","97"
"sternik","97"
"żołnierzy","97"
"nikogo","96"
"wrażenie","96"
"wielkiego","96"
"stać","96"
"znalazł","96"
"znasz","96"
"całkowicie","95"
"dosyć","95"
"popatrzył","95"
"odpowiedzi","95"
"sprawę","95"
"przypadkiem","95"
"apacz","95"
"cesarz","95"
"hrabianka","94"
"brata","94"
"wśród","94"
"młody","94"
"obie","94"
"byłoby","94"
"ręki","94"
"dotychczas","93"
"często","93"
"woli","93"
"ujrzał","93"
"pół","93"
"córkę","93"
"roberta","93"
"zostanie","92"
"celu","92"
"oczu","92"
"tysięcy","92"
"tą","92"
"całym","91"
"takiej","91"
"koń","91"
"hrabią","91"
"hacjendę","91"
"spostrzegł","90"
"leżał","90"
"prawa","90"
"mówię","90"
"chwycił","90"
"znaleźć","90"
"zniknął","90"
"rzeki","90"
"prezydenta","90"
"chihuahua","90"
"jechać","89"
"nadzieję","89"
"stoi","89"
"resedilla","89"
"czarny","88"
"notariusz","88"
"noc","88"
"szczęścia","88"
"postanowił","88"
"padł","88"
"wielka","88"
"strzelbę","88"
"flora","88"
"całej","87"
"bliżej","87"
"słowach","87"
"powrócił","87"
"obchodzi","87"
"oficer","87"
"robić","87"
"syn","86"
"wielkie","86"
"odrzekła","86"
"mocno","86"
"wystarczy","86"
"patrzył","86"
"rodrigandy","85"
"życiu","85"
"broni","85"
"więzienia","85"
"diabłów","85"
"słów","85"
"otto","85"
"generał","85"
"oka","84"
"późno","84"
"oprócz","84"
"kieszeni","84"
"zrobił","84"
"bok","84"
"powiedziałem","84"
"olsunna","84"
"apacze","84"
"każdym","83"
"wstał","83"
"wobec","83"
"dowiedział","83"
"doktora","83"
"naszym","83"
"diabeł","83"
"kogoś","83"
"indianie","83"
"rio","83"
"grot","83"
"drugim","82"
"reszta","82"
"północy","82"
"swojego","82"
"ważne","82"
"okna","82"
"zarba","82"
"piorunowy","82"
"gospodarz","81"
"rozmowę","81"
"lekarza","81"
"znał","81"
"chcieli","81"
"potrzebuję","81"
"jakimś","81"
"strzał","81"
"rozumiem","81"
"skał","81"
"znacie","80"
"gasparino","80"
"mieszka","80"
"musiała","80"
"wskazał","80"
"pomóc","80"
"umarł","80"
"oczach","80"
"lasu","80"
"serdecznie","79"
"rano","79"
"zamiast","79"
"widzi","79"
"okno","79"
"dom","78"
"kobiety","78"
"samą","78"
"powiedziała","78"
"wzrokiem","78"
"godzinę","78"
"zatrzymał","78"
"nogi","78"
"stolicy","78"
"cztery","78"
"szukać","78"
"dziewczyna","78"
"indian","78"
"stara","77"
"wraz","77"
"niebezpieczeństwo","77"
"światło","77"
"santa","77"
"osoby","77"
"dawno","76"
"przekonać","76"
